日期 ,时间 ,纬度 ,经度 ,海拔
17／10／05,93238,40/47.533,111.41.856,1108m
17／10／05,93239,40/47.532,111.41.852,1106m
17／10／05,93239,40/47.532,111.41.852,1106m
17／10／05,93241,40/47.557,111.41.837,1181m
17／10／05,93242,40/47.563,111.41.830,1199m
17／10／05,93243,40/47.561,111.41.826,1195m
17／10／05,93244,40/47.560,111.41.821,1194m
17／10／05,93245,40/47.559,111.41.815,1192m
17／10／05,93246,40/47.560,111.41.810,1194m
17／10／05,93247,40/47.558,111.41.806,1195m
17／10／05,93248,40/47.558,111.41.800,1196m
17／10／05,93249,40/47.555,111.41.796,1184m
17／10／05,93250,40/47.551,111.41.791,1174m
17／10／05,93251,40/47.549,111.41.787,1167m
17／10／05,93252,40/47.547,111.41.783,1162m
17／10／05,93253,40/47.548,111.41.779,1159m
17／10／05,93254,40/47.547,111.41.776,1151m
17／10／05,93255,40/47.547,111.41.771,1147m
17／10／05,93256,40/47.549,111.41.769,1147m
17／10／05,93257,40/47.552,111.41.767,1147m
17／10／05,93258,40/47.556,111.41.766,1146m
17／10／05,93259,40/47.560,111.41.764,1145m
17／10／05,93300,40/47.565,111.41.762,1144m
17／10／05,93301,40/47.571,111.41.759,1144m
17／10／05,93302,40/47.577,111.41.757,1143m
17／10／05,93303,40/47.583,111.41.754,1142m
17／10／05,93304,40/47.589,111.41.751,1142m
17／10／05,93305,40/47.595,111.41.748,1142m
17／10／05,93306,40/47.601,111.41.746,1142m
17／10／05,93307,40/47.607,111.41.743,1142m
17／10／05,93308,40/47.613,111.41.741,1141m
17／10／05,93309,40/47.618,111.41.738,1142m
17／10／05,93310,40/47.623,111.41.737,1141m
17／10／05,93311,40/47.627,111.41.735,1140m
17／10／05,93312,40/47.631,111.41.734,1140m
17／10／05,93313,40/47.634,111.41.733,1139m
17／10／05,93314,40/47.637,111.41.732,1139m
17／10／05,93315,40/47.639,111.41.731,1139m
17／10／05,93316,40/47.641,111.41.730,1140m
17／10／05,93317,40/47.643,111.41.730,1139m
17／10／05,93318,40/47.645,111.41.729,1139m
